GEOID,tract_name,race_ethnicity_total_population,non_hispanic_white_alone,non_hispanic_black_alone,non_hispanic_asian_alone,hispanic_or_latino
24031703206,Census Tract 7032.06; Montgomery County; Maryland,3959.0,1221.0,878.0,720.0,1006.0
24031703207,Census Tract 7032.07; Montgomery County; Maryland,6169.0,1514.0,888.0,238.0,3343.0
24031703208,Census Tract 7032.08; Montgomery County; Maryland,5277.0,3644.0,467.0,230.0,576.0
24031703209,Census Tract 7032.09; Montgomery County; Maryland,6088.0,1288.0,1449.0,491.0,1947.0
24031703210,Census Tract 7032.10; Montgomery County; Maryland,3791.0,1891.0,632.0,250.0,781.0
24031703213,Census Tract 7032.13; Montgomery County; Maryland,6334.0,712.0,1072.0,497.0,2801.0
24031703214,Census Tract 7032.14; Montgomery County; Maryland,7219.0,769.0,2148.0,310.0,3492.0
24031703215,Census Tract 7032.15; Montgomery County; Maryland,3266.0,905.0,713.0,240.0,912.0
24031703216,Census Tract 7032.16; Montgomery County; Maryland,3746.0,1529.0,1199.0,513.0,452.0
24031703218,Census Tract 7032.18; Montgomery County; Maryland,1962.0,1359.0,276.0,203.0,57.0
24031703219,Census Tract 7032.19; Montgomery County; Maryland,3174.0,2209.0,536.0,293.0,74.0
24031703220,Census Tract 7032.20; Montgomery County; Maryland,4786.0,892.0,1844.0,514.0,1105.0
24031703221,Census Tract 7032.21; Montgomery County; Maryland,5095.0,1543.0,1493.0,554.0,1291.0
24031703222,Census Tract 7032.22; Montgomery County; Maryland,4357.0,544.0,1555.0,497.0,1639.0
24031703223,Census Tract 7032.23; Montgomery County; Maryland,6828.0,1135.0,2995.0,1128.0,1034.0
24031703301,Census Tract 7033.01; Montgomery County; Maryland,5077.0,1036.0,277.0,570.0,2768.0
24031703302,Census Tract 7033.02; Montgomery County; Maryland,5128.0,678.0,240.0,480.0,3644.0
24031703401,Census Tract 7034.01; Montgomery County; Maryland,5784.0,873.0,591.0,685.0,3362.0
24031703402,Census Tract 7034.02; Montgomery County; Maryland,4227.0,821.0,375.0,1425.0,1490.0
24031703403,Census Tract 7034.03; Montgomery County; Maryland,3336.0,631.0,443.0,286.0,1832.0
24031703404,Census Tract 7034.04; Montgomery County; Maryland,3778.0,169.0,244.0,156.0,2982.0
24031703501,Census Tract 7035.01; Montgomery County; Maryland,6191.0,1383.0,1745.0,589.0,2092.0
24031703502,Census Tract 7035.02; Montgomery County; Maryland,2869.0,1522.0,279.0,134.0,750.0
24031703601,Census Tract 7036.01; Montgomery County; Maryland,4777.0,2425.0,535.0,355.0,1288.0
24031703602,Census Tract 7036.02; Montgomery County; Maryland,2507.0,1757.0,126.0,58.0,338.0
24031703701,Census Tract 7037.01; Montgomery County; Maryland,4422.0,496.0,316.0,279.0,3105.0
24031703702,Census Tract 7037.02; Montgomery County; Maryland,4265.0,1147.0,801.0,473.0,1766.0
24031703800,Census Tract 7038; Montgomery County; Maryland,4202.0,870.0,2010.0,286.0,860.0
24031703901,Census Tract 7039.01; Montgomery County; Maryland,3257.0,1849.0,439.0,200.0,513.0
24031703902,Census Tract 7039.02; Montgomery County; Maryland,8475.0,2369.0,1858.0,352.0,3807.0
24031704000,Census Tract 7040; Montgomery County; Maryland,6616.0,2725.0,800.0,487.0,2036.0
24031704100,Census Tract 7041; Montgomery County; Maryland,4522.0,3667.0,254.0,138.0,290.0
24031704200,Census Tract 7042; Montgomery County; Maryland,2369.0,1545.0,130.0,337.0,294.0
24031704300,Census Tract 7043; Montgomery County; Maryland,4017.0,2937.0,162.0,338.0,153.0
24031704401,Census Tract 7044.01; Montgomery County; Maryland,3511.0,1938.0,392.0,737.0,206.0
24031704403,Census Tract 7044.03; Montgomery County; Maryland,1426.0,888.0,74.0,91.0,273.0
24031704404,Census Tract 7044.04; Montgomery County; Maryland,6108.0,4196.0,567.0,503.0,582.0
24031704501,Census Tract 7045.01; Montgomery County; Maryland,3223.0,1871.0,158.0,488.0,368.0
24031704502,Census Tract 7045.02; Montgomery County; Maryland,3095.0,1941.0,248.0,319.0,358.0
24031704503,Census Tract 7045.03; Montgomery County; Maryland,4108.0,2747.0,122.0,454.0,219.0
24031704600,Census Tract 7046; Montgomery County; Maryland,5075.0,3370.0,322.0,738.0,434.0
24031704700,Census Tract 7047; Montgomery County; Maryland,3639.0,2521.0,267.0,332.0,402.0
24031704803,Census Tract 7048.03; Montgomery County; Maryland,4556.0,2247.0,591.0,700.0,830.0
24031704804,Census Tract 7048.04; Montgomery County; Maryland,2673.0,1640.0,285.0,424.0,172.0
24031704805,Census Tract 7048.05; Montgomery County; Maryland,2826.0,1833.0,173.0,561.0,112.0
24031704806,Census Tract 7048.06; Montgomery County; Maryland,4554.0,2332.0,582.0,1013.0,408.0
24031705000,Census Tract 7050; Montgomery County; Maryland,4621.0,3278.0,122.0,298.0,580.0
24031705100,Census Tract 7051; Montgomery County; Maryland,5493.0,4023.0,475.0,222.0,383.0
24031705200,Census Tract 7052; Montgomery County; Maryland,3363.0,2730.0,102.0,190.0,107.0
24031705300,Census Tract 7053; Montgomery County; Maryland,1903.0,1704.0,0.0,26.0,93.0
24031705400,Census Tract 7054; Montgomery County; Maryland,2906.0,2355.0,7.0,138.0,127.0
24031705501,Census Tract 7055.01; Montgomery County; Maryland,2185.0,1351.0,52.0,473.0,189.0
24031705502,Census Tract 7055.02; Montgomery County; Maryland,4142.0,3186.0,254.0,235.0,329.0
24031705601,Census Tract 7056.01; Montgomery County; Maryland,3359.0,2295.0,137.0,137.0,386.0
24031705602,Census Tract 7056.02; Montgomery County; Maryland,3930.0,2609.0,226.0,288.0,628.0
24031705701,Census Tract 7057.01; Montgomery County; Maryland,4837.0,3651.0,297.0,365.0,331.0
24031705702,Census Tract 7057.02; Montgomery County; Maryland,4855.0,3676.0,35.0,277.0,651.0
24031705800,Census Tract 7058; Montgomery County; Maryland,6126.0,4733.0,271.0,460.0,231.0
24031705901,Census Tract 7059.01; Montgomery County; Maryland,4262.0,2964.0,228.0,587.0,383.0
24031705902,Census Tract 7059.02; Montgomery County; Maryland,4199.0,2831.0,70.0,605.0,324.0
24031705903,Census Tract 7059.03; Montgomery County; Maryland,4764.0,2816.0,52.0,1169.0,377.0
24031706005,Census Tract 7060.05; Montgomery County; Maryland,4390.0,2617.0,74.0,1253.0,282.0
24031706007,Census Tract 7060.07; Montgomery County; Maryland,7301.0,4141.0,278.0,1902.0,429.0
24031706008,Census Tract 7060.08; Montgomery County; Maryland,5353.0,3595.0,85.0,921.0,201.0
24031706009,Census Tract 7060.09; Montgomery County; Maryland,5148.0,3690.0,152.0,627.0,408.0
24031706010,Census Tract 7060.10; Montgomery County; Maryland,2981.0,1325.0,403.0,931.0,224.0
24031706011,Census Tract 7060.11; Montgomery County; Maryland,5705.0,3045.0,238.0,1097.0,1112.0
24031706012,Census Tract 7060.12; Montgomery County; Maryland,3200.0,1289.0,456.0,753.0,606.0
24031706013,Census Tract 7060.13; Montgomery County; Maryland,3024.0,1652.0,413.0,510.0,129.0
